Unloading shared
  WARNING: Did not unuse /cm/shared/modulefiles
[start] Sat May 23 01:12:40 PM CDT 2026  host=node048  task=3  name=cond_B
name
NVIDIA L40S
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
SPS: 75
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
SPS: 147
global_step=1208, episodic_return=0.0
global_step=1208, episodic_return=0.0
global_step=1208, episodic_return=0.0
global_step=1208, episodic_return=0.0
SPS: 216
global_step=1540, episodic_return=0.262
global_step=1612, episodic_return=0.0
global_step=1612, episodic_return=0.0
global_step=1612, episodic_return=0.0
global_step=1944, episodic_return=0.0
global_step=2016, episodic_return=0.0
global_step=2016, episodic_return=0.0
global_step=2016, episodic_return=0.0
SPS: 283
global_step=2348, episodic_return=0.0
global_step=2420, episodic_return=0.0
global_step=2420, episodic_return=0.0
global_step=2420, episodic_return=0.0
SPS: 347
global_step=2752, episodic_return=0.0
global_step=2824, episodic_return=0.0
global_step=2824, episodic_return=0.0
global_step=2824, episodic_return=0.0
SPS: 409
global_step=3156, episodic_return=0.0
global_step=3228, episodic_return=0.0
global_step=3228, episodic_return=0.0
global_step=3228, episodic_return=0.0
global_step=3560, episodic_return=0.0
SPS: 468
global_step=3632, episodic_return=0.0
global_step=3632, episodic_return=0.0
global_step=3632, episodic_return=0.0
global_step=3964, episodic_return=0.0
global_step=4036, episodic_return=0.0
global_step=4036, episodic_return=0.0
global_step=4036, episodic_return=0.0
SPS: 526
global_step=4368, episodic_return=0.0
global_step=4440, episodic_return=0.0
global_step=4440, episodic_return=0.0
global_step=4440, episodic_return=0.0
SPS: 581
global_step=4772, episodic_return=0.0
global_step=4844, episodic_return=0.0
global_step=4844, episodic_return=0.0
global_step=4844, episodic_return=0.0
SPS: 635
global_step=5176, episodic_return=0.0
global_step=5248, episodic_return=0.0
global_step=5248, episodic_return=0.0
global_step=5248, episodic_return=0.0
global_step=5516, episodic_return=0.4059999999999999
global_step=5580, episodic_return=0.0
SPS: 687
global_step=5652, episodic_return=0.0
global_step=5652, episodic_return=0.0
global_step=5920, episodic_return=0.0
global_step=5984, episodic_return=0.0
global_step=6056, episodic_return=0.0
global_step=6056, episodic_return=0.0
SPS: 737
global_step=6200, episodic_return=0.685
global_step=6324, episodic_return=0.0
global_step=6388, episodic_return=0.0
global_step=6460, episodic_return=0.0
global_step=6604, episodic_return=0.0
SPS: 785
global_step=6728, episodic_return=0.0
global_step=6792, episodic_return=0.0
global_step=6864, episodic_return=0.0
global_step=7008, episodic_return=0.0
global_step=7132, episodic_return=0.0
SPS: 831
global_step=7196, episodic_return=0.0
global_step=7268, episodic_return=0.0
global_step=7412, episodic_return=0.0
global_step=7536, episodic_return=0.0
global_step=7600, episodic_return=0.0
global_step=7672, episodic_return=0.0
SPS: 876
global_step=7816, episodic_return=0.0
global_step=7940, episodic_return=0.0
global_step=8004, episodic_return=0.0
global_step=8076, episodic_return=0.0
SPS: 919
global_step=8220, episodic_return=0.0
global_step=8344, episodic_return=0.0
global_step=8392, episodic_return=0.136
global_step=8480, episodic_return=0.0
global_step=8624, episodic_return=0.0
SPS: 961
global_step=8748, episodic_return=0.0
global_step=8796, episodic_return=0.0
global_step=8884, episodic_return=0.0
global_step=9028, episodic_return=0.0
global_step=9152, episodic_return=0.0
global_step=9200, episodic_return=0.0
SPS: 1002
global_step=9288, episodic_return=0.0
global_step=9432, episodic_return=0.0
global_step=9556, episodic_return=0.0
global_step=9604, episodic_return=0.0
global_step=9692, episodic_return=0.0
SPS: 1041
global_step=9836, episodic_return=0.0
global_step=9960, episodic_return=0.0
global_step=10008, episodic_return=0.0
global_step=10096, episodic_return=0.0
global_step=10240, episodic_return=0.0
SPS: 1080
global_step=10364, episodic_return=0.0
global_step=10412, episodic_return=0.0
global_step=10500, episodic_return=0.0
global_step=10644, episodic_return=0.0
SPS: 1118
global_step=10768, episodic_return=0.0
global_step=10816, episodic_return=0.0
global_step=10904, episodic_return=0.0
global_step=11048, episodic_return=0.0
global_step=11172, episodic_return=0.0
global_step=11220, episodic_return=0.0
SPS: 1154
global_step=11308, episodic_return=0.0
global_step=11452, episodic_return=0.0
global_step=11576, episodic_return=0.0
global_step=11624, episodic_return=0.0
global_step=11712, episodic_return=0.0
SPS: 1189
global_step=11856, episodic_return=0.0
global_step=11980, episodic_return=0.0
global_step=12028, episodic_return=0.0
global_step=12116, episodic_return=0.0
global_step=12260, episodic_return=0.0
SPS: 1224
global_step=12384, episodic_return=0.0
global_step=12432, episodic_return=0.0
global_step=12520, episodic_return=0.0
global_step=12664, episodic_return=0.0
global_step=12788, episodic_return=0.0
SPS: 1257
global_step=12836, episodic_return=0.0
global_step=12924, episodic_return=0.0
global_step=13068, episodic_return=0.0
global_step=13192, episodic_return=0.0
global_step=13240, episodic_return=0.0
SPS: 1290
global_step=13328, episodic_return=0.0
global_step=13372, episodic_return=0.604
global_step=13472, episodic_return=0.0
global_step=13644, episodic_return=0.0
global_step=13732, episodic_return=0.0
global_step=13776, episodic_return=0.0
SPS: 1321
global_step=13876, episodic_return=0.0
global_step=14048, episodic_return=0.0
global_step=14136, episodic_return=0.0
global_step=14180, episodic_return=0.0
global_step=14280, episodic_return=0.0
SPS: 1351
global_step=14452, episodic_return=0.0
global_step=14540, episodic_return=0.0
global_step=14584, episodic_return=0.0
global_step=14684, episodic_return=0.0
global_step=14792, episodic_return=0.5409999999999999
SPS: 1379
global_step=14856, episodic_return=0.0
global_step=14944, episodic_return=0.0
global_step=15088, episodic_return=0.0
global_step=15196, episodic_return=0.0
global_step=15260, episodic_return=0.0
global_step=15348, episodic_return=0.0
SPS: 1408
global_step=15492, episodic_return=0.0
global_step=15600, episodic_return=0.0
global_step=15664, episodic_return=0.0
global_step=15752, episodic_return=0.0
SPS: 1437
global_step=15896, episodic_return=0.0
global_step=16004, episodic_return=0.0
global_step=16068, episodic_return=0.0
global_step=16156, episodic_return=0.0
global_step=16300, episodic_return=0.0
SPS: 1465
global_step=16408, episodic_return=0.0
global_step=16472, episodic_return=0.0
global_step=16560, episodic_return=0.0
global_step=16616, episodic_return=0.883
global_step=16704, episodic_return=0.0
global_step=16812, episodic_return=0.0
global_step=16876, episodic_return=0.0
SPS: 1488
global_step=17020, episodic_return=0.0
global_step=17108, episodic_return=0.0
global_step=17216, episodic_return=0.0
global_step=17280, episodic_return=0.0
SPS: 1515
global_step=17424, episodic_return=0.0
global_step=17512, episodic_return=0.0
global_step=17620, episodic_return=0.0
global_step=17684, episodic_return=0.0
global_step=17828, episodic_return=0.0
global_step=17916, episodic_return=0.0
SPS: 1541
global_step=18024, episodic_return=0.0
global_step=18088, episodic_return=0.0
global_step=18232, episodic_return=0.0
global_step=18320, episodic_return=0.0
global_step=18428, episodic_return=0.0
SPS: 1566
global_step=18492, episodic_return=0.0
global_step=18636, episodic_return=0.0
global_step=18724, episodic_return=0.0
global_step=18832, episodic_return=0.0
global_step=18896, episodic_return=0.0
SPS: 1591
global_step=19040, episodic_return=0.0
global_step=19128, episodic_return=0.0
global_step=19236, episodic_return=0.0
global_step=19300, episodic_return=0.0
global_step=19444, episodic_return=0.0
SPS: 1615
global_step=19532, episodic_return=0.0
global_step=19640, episodic_return=0.0
global_step=19704, episodic_return=0.0
global_step=19848, episodic_return=0.0
global_step=19936, episodic_return=0.0
SPS: 1638
global_step=20044, episodic_return=0.0
global_step=20108, episodic_return=0.0
global_step=20252, episodic_return=0.0
global_step=20340, episodic_return=0.0
global_step=20448, episodic_return=0.0
SPS: 1661
global_step=20512, episodic_return=0.0
global_step=20656, episodic_return=0.0
global_step=20744, episodic_return=0.0
global_step=20760, episodic_return=0.45099999999999996
global_step=20852, episodic_return=0.0
SPS: 1684
global_step=21060, episodic_return=0.0
global_step=21148, episodic_return=0.0
global_step=21164, episodic_return=0.0
global_step=21256, episodic_return=0.0
global_step=21464, episodic_return=0.0
SPS: 1706
global_step=21552, episodic_return=0.0
global_step=21568, episodic_return=0.0
global_step=21660, episodic_return=0.0
global_step=21868, episodic_return=0.0
global_step=21956, episodic_return=0.0
global_step=21972, episodic_return=0.0
SPS: 1727
global_step=22064, episodic_return=0.0
global_step=22272, episodic_return=0.0
global_step=22360, episodic_return=0.0
global_step=22376, episodic_return=0.0
global_step=22468, episodic_return=0.0
SPS: 1749
global_step=22676, episodic_return=0.0
global_step=22764, episodic_return=0.0
global_step=22780, episodic_return=0.0
global_step=22872, episodic_return=0.0
SPS: 1769
global_step=23080, episodic_return=0.0
global_step=23168, episodic_return=0.0
global_step=23184, episodic_return=0.0
global_step=23276, episodic_return=0.0
global_step=23484, episodic_return=0.0
SPS: 1789
global_step=23572, episodic_return=0.0
global_step=23588, episodic_return=0.0
global_step=23680, episodic_return=0.0
global_step=23888, episodic_return=0.0
global_step=23976, episodic_return=0.0
global_step=23992, episodic_return=0.0
SPS: 1809
global_step=24084, episodic_return=0.0
global_step=24292, episodic_return=0.0
global_step=24380, episodic_return=0.0
global_step=24396, episodic_return=0.0
global_step=24488, episodic_return=0.0
SPS: 1828
global_step=24696, episodic_return=0.0
global_step=24784, episodic_return=0.0
global_step=24800, episodic_return=0.0
global_step=24892, episodic_return=0.0
SPS: 1848
global_step=25100, episodic_return=0.0
global_step=25188, episodic_return=0.0
global_step=25204, episodic_return=0.0
global_step=25296, episodic_return=0.0
global_step=25356, episodic_return=0.631
global_step=25504, episodic_return=0.0
SPS: 1866
global_step=25608, episodic_return=0.0
global_step=25700, episodic_return=0.0
global_step=25760, episodic_return=0.0
global_step=25908, episodic_return=0.0
global_step=26012, episodic_return=0.0
global_step=26104, episodic_return=0.0
SPS: 1884
global_step=26164, episodic_return=0.0
global_step=26312, episodic_return=0.0
global_step=26416, episodic_return=0.0
global_step=26508, episodic_return=0.0
global_step=26568, episodic_return=0.0
SPS: 1901
global_step=26716, episodic_return=0.0
global_step=26820, episodic_return=0.0
global_step=26912, episodic_return=0.0
global_step=26972, episodic_return=0.0
global_step=27120, episodic_return=0.0
SPS: 1919
global_step=27224, episodic_return=0.0
global_step=27316, episodic_return=0.0
global_step=27376, episodic_return=0.0
global_step=27524, episodic_return=0.0
global_step=27628, episodic_return=0.0
SPS: 1936
global_step=27720, episodic_return=0.0
global_step=27780, episodic_return=0.0
global_step=27928, episodic_return=0.0
global_step=28032, episodic_return=0.0
global_step=28124, episodic_return=0.0
SPS: 1953
global_step=28184, episodic_return=0.0
global_step=28332, episodic_return=0.0
global_step=28436, episodic_return=0.0
global_step=28528, episodic_return=0.0
global_step=28588, episodic_return=0.0
SPS: 1969
global_step=28736, episodic_return=0.0
global_step=28840, episodic_return=0.0
global_step=28932, episodic_return=0.0
global_step=28992, episodic_return=0.0
global_step=29140, episodic_return=0.0
SPS: 1985
global_step=29244, episodic_return=0.0
global_step=29336, episodic_return=0.0
global_step=29396, episodic_return=0.0
global_step=29544, episodic_return=0.0
global_step=29648, episodic_return=0.0
SPS: 2001
global_step=29740, episodic_return=0.0
global_step=29800, episodic_return=0.0
global_step=29948, episodic_return=0.0
global_step=30052, episodic_return=0.0
global_step=30144, episodic_return=0.0
global_step=30204, episodic_return=0.0
SPS: 2017
global_step=30352, episodic_return=0.0
global_step=30456, episodic_return=0.0
global_step=30548, episodic_return=0.0
global_step=30608, episodic_return=0.0
SPS: 2032
global_step=30756, episodic_return=0.0
global_step=30860, episodic_return=0.0
global_step=30952, episodic_return=0.0
global_step=31012, episodic_return=0.0
global_step=31160, episodic_return=0.0
SPS: 2047
global_step=31264, episodic_return=0.0
global_step=31356, episodic_return=0.0
global_step=31416, episodic_return=0.0
global_step=31564, episodic_return=0.0
global_step=31668, episodic_return=0.0
SPS: 2062
global_step=31760, episodic_return=0.0
global_step=31820, episodic_return=0.0
global_step=31968, episodic_return=0.0
global_step=32072, episodic_return=0.0
global_step=32164, episodic_return=0.0
global_step=32224, episodic_return=0.0
SPS: 2076
global_step=32372, episodic_return=0.0
global_step=32476, episodic_return=0.0
global_step=32568, episodic_return=0.0
global_step=32628, episodic_return=0.0
SPS: 2090
global_step=32776, episodic_return=0.0
global_step=32880, episodic_return=0.0
global_step=32972, episodic_return=0.0
global_step=33032, episodic_return=0.0
global_step=33180, episodic_return=0.0
SPS: 2102
global_step=33284, episodic_return=0.0
global_step=33376, episodic_return=0.0
global_step=33436, episodic_return=0.0
global_step=33584, episodic_return=0.0
global_step=33688, episodic_return=0.0
global_step=33780, episodic_return=0.0
SPS: 2115
global_step=33840, episodic_return=0.0
global_step=33988, episodic_return=0.0
global_step=34092, episodic_return=0.0
global_step=34184, episodic_return=0.0
global_step=34244, episodic_return=0.0
SPS: 2129
global_step=34392, episodic_return=0.0
global_step=34420, episodic_return=0.613
global_step=34496, episodic_return=0.0
global_step=34588, episodic_return=0.0
global_step=34796, episodic_return=0.0
SPS: 2143
global_step=34824, episodic_return=0.0
global_step=34900, episodic_return=0.0
global_step=34992, episodic_return=0.0
global_step=35200, episodic_return=0.0
global_step=35228, episodic_return=0.0
global_step=35304, episodic_return=0.0
SPS: 2156
global_step=35396, episodic_return=0.0
global_step=35604, episodic_return=0.0
global_step=35632, episodic_return=0.0
global_step=35708, episodic_return=0.0
global_step=35800, episodic_return=0.0
SPS: 2169
global_step=36008, episodic_return=0.0
global_step=36036, episodic_return=0.0
global_step=36112, episodic_return=0.0
global_step=36204, episodic_return=0.0
SPS: 2182
global_step=36412, episodic_return=0.0
global_step=36440, episodic_return=0.0
global_step=36516, episodic_return=0.0
global_step=36608, episodic_return=0.0
global_step=36816, episodic_return=0.0
global_step=36844, episodic_return=0.0
SPS: 2194
global_step=36920, episodic_return=0.0
global_step=37012, episodic_return=0.0
global_step=37220, episodic_return=0.0
global_step=37248, episodic_return=0.0
global_step=37324, episodic_return=0.0
SPS: 2206
global_step=37416, episodic_return=0.0
global_step=37624, episodic_return=0.0
global_step=37652, episodic_return=0.0
global_step=37728, episodic_return=0.0
global_step=37820, episodic_return=0.0
SPS: 2217
global_step=38028, episodic_return=0.0
global_step=38056, episodic_return=0.0
global_step=38132, episodic_return=0.0
global_step=38224, episodic_return=0.0
SPS: 2229
global_step=38432, episodic_return=0.0
global_step=38460, episodic_return=0.0
global_step=38536, episodic_return=0.0
global_step=38628, episodic_return=0.0
global_step=38836, episodic_return=0.0
global_step=38864, episodic_return=0.0
SPS: 2241
global_step=38940, episodic_return=0.0
global_step=39032, episodic_return=0.0
global_step=39240, episodic_return=0.0
global_step=39268, episodic_return=0.0
global_step=39344, episodic_return=0.0
SPS: 2252
global_step=39436, episodic_return=0.0
global_step=39644, episodic_return=0.0
global_step=39672, episodic_return=0.0
global_step=39748, episodic_return=0.0
global_step=39840, episodic_return=0.0
SPS: 2263
global_step=40048, episodic_return=0.0
global_step=40076, episodic_return=0.0
global_step=40152, episodic_return=0.0
global_step=40244, episodic_return=0.0
SPS: 2274
global_step=40452, episodic_return=0.0
global_step=40480, episodic_return=0.0
global_step=40556, episodic_return=0.0
global_step=40648, episodic_return=0.0
global_step=40856, episodic_return=0.0
global_step=40884, episodic_return=0.0
global_step=40960, episodic_return=0.0
SPS: 2285
global_step=41052, episodic_return=0.0
global_step=41260, episodic_return=0.0
global_step=41288, episodic_return=0.0
global_step=41364, episodic_return=0.0
global_step=41456, episodic_return=0.0
SPS: 2295
global_step=41664, episodic_return=0.0
global_step=41692, episodic_return=0.0
global_step=41768, episodic_return=0.0
global_step=41860, episodic_return=0.0
SPS: 2305
global_step=42068, episodic_return=0.0
global_step=42096, episodic_return=0.0
global_step=42172, episodic_return=0.0
global_step=42264, episodic_return=0.0
global_step=42472, episodic_return=0.0
SPS: 2316
global_step=42500, episodic_return=0.0
global_step=42576, episodic_return=0.0
global_step=42668, episodic_return=0.0
global_step=42876, episodic_return=0.0
global_step=42904, episodic_return=0.0
global_step=42980, episodic_return=0.0
SPS: 2324
global_step=43072, episodic_return=0.0
global_step=43280, episodic_return=0.0
global_step=43308, episodic_return=0.0
global_step=43384, episodic_return=0.0
global_step=43476, episodic_return=0.0
SPS: 2335
global_step=43684, episodic_return=0.0
global_step=43712, episodic_return=0.0
global_step=43788, episodic_return=0.0
global_step=43880, episodic_return=0.0
SPS: 2345
global_step=44088, episodic_return=0.0
global_step=44116, episodic_return=0.0
global_step=44192, episodic_return=0.0
global_step=44284, episodic_return=0.0
global_step=44492, episodic_return=0.0
global_step=44520, episodic_return=0.0
SPS: 2354
global_step=44596, episodic_return=0.0
global_step=44688, episodic_return=0.0
global_step=44820, episodic_return=0.5049999999999999
global_step=44896, episodic_return=0.0
global_step=44924, episodic_return=0.0
SPS: 2363
global_step=45092, episodic_return=0.0
global_step=45124, episodic_return=0.4959999999999999
global_step=45224, episodic_return=0.0
global_step=45328, episodic_return=0.0
global_step=45496, episodic_return=0.0
global_step=45528, episodic_return=0.0
SPS: 2372
global_step=45628, episodic_return=0.0
global_step=45732, episodic_return=0.0
global_step=45900, episodic_return=0.0
global_step=45932, episodic_return=0.0
global_step=46032, episodic_return=0.0
SPS: 2381
global_step=46136, episodic_return=0.0
global_step=46304, episodic_return=0.0
global_step=46336, episodic_return=0.0
global_step=46380, episodic_return=0.45999999999999996
global_step=46436, episodic_return=0.0
SPS: 2390
global_step=46708, episodic_return=0.0
global_step=46740, episodic_return=0.0
global_step=46784, episodic_return=0.0
global_step=46840, episodic_return=0.0
SPS: 2399
global_step=47112, episodic_return=0.0
global_step=47144, episodic_return=0.0
global_step=47188, episodic_return=0.0
global_step=47240, episodic_return=0.721
global_step=47244, episodic_return=0.0
global_step=47548, episodic_return=0.0
global_step=47592, episodic_return=0.0
SPS: 2408
global_step=47644, episodic_return=0.0
global_step=47648, episodic_return=0.0
global_step=47952, episodic_return=0.0
global_step=47996, episodic_return=0.0
global_step=48048, episodic_return=0.0
global_step=48052, episodic_return=0.0
SPS: 2417
global_step=48228, episodic_return=0.487
global_step=48356, episodic_return=0.0
global_step=48452, episodic_return=0.0
global_step=48456, episodic_return=0.0
global_step=48632, episodic_return=0.0
SPS: 2425
global_step=48760, episodic_return=0.0
global_step=48856, episodic_return=0.0
global_step=48860, episodic_return=0.0
global_step=49036, episodic_return=0.0
SPS: 2434
global_step=49164, episodic_return=0.0
global_step=49260, episodic_return=0.0
global_step=49264, episodic_return=0.0
global_step=49440, episodic_return=0.0
global_step=49568, episodic_return=0.0
global_step=49664, episodic_return=0.0
SPS: 2442
global_step=49668, episodic_return=0.0
global_step=49844, episodic_return=0.0
global_step=49972, episodic_return=0.0
global_step=50068, episodic_return=0.0
global_step=50072, episodic_return=0.0
SPS: 2451
global_step=50248, episodic_return=0.0
global_step=50376, episodic_return=0.0
global_step=50472, episodic_return=0.0
global_step=50476, episodic_return=0.0
global_step=50652, episodic_return=0.0
SPS: 2459
global_step=50780, episodic_return=0.0
global_step=50876, episodic_return=0.0
global_step=50880, episodic_return=0.0
global_step=51056, episodic_return=0.0
global_step=51184, episodic_return=0.0
SPS: 2463
global_step=51280, episodic_return=0.0
global_step=51284, episodic_return=0.0
global_step=51460, episodic_return=0.0
global_step=51588, episodic_return=0.0
global_step=51684, episodic_return=0.0
global_step=51688, episodic_return=0.0
SPS: 2470
global_step=51864, episodic_return=0.0
global_step=51992, episodic_return=0.0
global_step=52088, episodic_return=0.0
global_step=52092, episodic_return=0.0
SPS: 2478
global_step=52268, episodic_return=0.0
global_step=52396, episodic_return=0.0
global_step=52492, episodic_return=0.0
global_step=52496, episodic_return=0.0
global_step=52672, episodic_return=0.0
SPS: 2486
global_step=52800, episodic_return=0.0
global_step=52896, episodic_return=0.0
global_step=52900, episodic_return=0.0
global_step=53076, episodic_return=0.0
global_step=53204, episodic_return=0.0
SPS: 2493
global_step=53300, episodic_return=0.0
global_step=53304, episodic_return=0.0
global_step=53480, episodic_return=0.0
global_step=53608, episodic_return=0.0
global_step=53704, episodic_return=0.0
global_step=53708, episodic_return=0.0
SPS: 2501
global_step=53884, episodic_return=0.0
global_step=54012, episodic_return=0.0
global_step=54108, episodic_return=0.0
global_step=54112, episodic_return=0.0
SPS: 2508
global_step=54288, episodic_return=0.0
global_step=54416, episodic_return=0.0
global_step=54512, episodic_return=0.0
global_step=54516, episodic_return=0.0
global_step=54692, episodic_return=0.0
SPS: 2516
global_step=54820, episodic_return=0.0
global_step=54916, episodic_return=0.0
global_step=54920, episodic_return=0.0
global_step=55096, episodic_return=0.0
global_step=55224, episodic_return=0.0
SPS: 2521
global_step=55320, episodic_return=0.0
global_step=55324, episodic_return=0.0
global_step=55500, episodic_return=0.0
global_step=55628, episodic_return=0.0
global_step=55724, episodic_return=0.0
global_step=55728, episodic_return=0.0
SPS: 2528
global_step=55884, episodic_return=0.43299999999999994
global_step=55904, episodic_return=0.0
global_step=56128, episodic_return=0.0
global_step=56132, episodic_return=0.0
global_step=56288, episodic_return=0.0
global_step=56308, episodic_return=0.0
SPS: 2535
global_step=56532, episodic_return=0.0
global_step=56536, episodic_return=0.0
global_step=56692, episodic_return=0.0
global_step=56712, episodic_return=0.0
SPS: 2542
global_step=56936, episodic_return=0.0
global_step=56940, episodic_return=0.0
global_step=57096, episodic_return=0.0
global_step=57116, episodic_return=0.0
global_step=57340, episodic_return=0.0
global_step=57344, episodic_return=0.0
SPS: 2549
global_step=57500, episodic_return=0.0
global_step=57520, episodic_return=0.0
global_step=57744, episodic_return=0.0
global_step=57748, episodic_return=0.0
SPS: 2556
global_step=57904, episodic_return=0.0
global_step=57924, episodic_return=0.0
global_step=58064, episodic_return=0.2889999999999999
global_step=58152, episodic_return=0.0
global_step=58308, episodic_return=0.0
global_step=58328, episodic_return=0.0
SPS: 2563
global_step=58468, episodic_return=0.0
global_step=58556, episodic_return=0.0
global_step=58712, episodic_return=0.0
global_step=58732, episodic_return=0.0
global_step=58872, episodic_return=0.0
SPS: 2569
global_step=58960, episodic_return=0.0
global_step=59116, episodic_return=0.0
global_step=59136, episodic_return=0.0
global_step=59276, episodic_return=0.0
global_step=59364, episodic_return=0.0
SPS: 2576
global_step=59520, episodic_return=0.0
global_step=59540, episodic_return=0.0
global_step=59680, episodic_return=0.0
global_step=59768, episodic_return=0.0
SPS: 2582
global_step=59924, episodic_return=0.0
