Unloading shared
  WARNING: Did not unuse /cm/shared/modulefiles
[start] Sat May 23 01:37:44 PM CDT 2026  host=node047  task=0  name=baseline_fixed
name
NVIDIA L40S
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
SPS: 1013
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
SPS: 1508
global_step=1208, episodic_return=0.0
global_step=1208, episodic_return=0.0
global_step=1208, episodic_return=0.0
global_step=1208, episodic_return=0.0
SPS: 1805
global_step=1612, episodic_return=0.0
global_step=1612, episodic_return=0.0
global_step=1612, episodic_return=0.0
global_step=1612, episodic_return=0.0
global_step=2016, episodic_return=0.0
global_step=2016, episodic_return=0.0
global_step=2016, episodic_return=0.0
global_step=2016, episodic_return=0.0
SPS: 1996
global_step=2420, episodic_return=0.0
global_step=2420, episodic_return=0.0
global_step=2420, episodic_return=0.0
global_step=2420, episodic_return=0.0
SPS: 2137
global_step=2824, episodic_return=0.0
global_step=2824, episodic_return=0.0
global_step=2824, episodic_return=0.0
global_step=2824, episodic_return=0.0
SPS: 2243
global_step=3228, episodic_return=0.0
global_step=3228, episodic_return=0.0
global_step=3228, episodic_return=0.0
global_step=3228, episodic_return=0.0
SPS: 2326
global_step=3596, episodic_return=0.18099999999999994
global_step=3632, episodic_return=0.0
global_step=3632, episodic_return=0.0
global_step=3632, episodic_return=0.0
global_step=3856, episodic_return=0.5049999999999999
global_step=4000, episodic_return=0.0
global_step=4036, episodic_return=0.0
global_step=4036, episodic_return=0.0
SPS: 2388
global_step=4260, episodic_return=0.0
global_step=4404, episodic_return=0.0
global_step=4440, episodic_return=0.0
global_step=4440, episodic_return=0.0
SPS: 2440
global_step=4664, episodic_return=0.0
global_step=4808, episodic_return=0.0
global_step=4844, episodic_return=0.0
global_step=4844, episodic_return=0.0
global_step=4944, episodic_return=0.784
global_step=5068, episodic_return=0.0
SPS: 2486
global_step=5212, episodic_return=0.0
global_step=5248, episodic_return=0.0
global_step=5348, episodic_return=0.0
global_step=5472, episodic_return=0.0
global_step=5616, episodic_return=0.0
SPS: 2524
global_step=5652, episodic_return=0.0
global_step=5752, episodic_return=0.0
global_step=5876, episodic_return=0.0
global_step=6020, episodic_return=0.0
global_step=6056, episodic_return=0.0
SPS: 2554
global_step=6156, episodic_return=0.0
global_step=6280, episodic_return=0.0
global_step=6400, episodic_return=0.15400000000000003
global_step=6460, episodic_return=0.0
global_step=6560, episodic_return=0.0
SPS: 2581
global_step=6684, episodic_return=0.0
global_step=6804, episodic_return=0.0
global_step=6864, episodic_return=0.0
global_step=6964, episodic_return=0.0
global_step=7088, episodic_return=0.0
SPS: 2604
global_step=7208, episodic_return=0.0
global_step=7268, episodic_return=0.0
global_step=7368, episodic_return=0.0
global_step=7492, episodic_return=0.0
global_step=7612, episodic_return=0.0
global_step=7672, episodic_return=0.0
SPS: 2622
global_step=7772, episodic_return=0.0
global_step=7896, episodic_return=0.0
global_step=8016, episodic_return=0.0
global_step=8076, episodic_return=0.0
global_step=8176, episodic_return=0.0
SPS: 2639
global_step=8300, episodic_return=0.0
global_step=8420, episodic_return=0.0
global_step=8480, episodic_return=0.0
global_step=8580, episodic_return=0.0
global_step=8704, episodic_return=0.0
SPS: 2655
global_step=8824, episodic_return=0.0
global_step=8884, episodic_return=0.0
global_step=8984, episodic_return=0.0
global_step=9108, episodic_return=0.0
SPS: 2669
global_step=9228, episodic_return=0.0
global_step=9288, episodic_return=0.0
global_step=9388, episodic_return=0.0
global_step=9512, episodic_return=0.0
global_step=9632, episodic_return=0.0
global_step=9692, episodic_return=0.0
SPS: 2683
global_step=9792, episodic_return=0.0
global_step=9916, episodic_return=0.0
global_step=10036, episodic_return=0.0
global_step=10096, episodic_return=0.0
global_step=10196, episodic_return=0.0
SPS: 2693
global_step=10320, episodic_return=0.0
global_step=10440, episodic_return=0.0
global_step=10500, episodic_return=0.0
global_step=10600, episodic_return=0.0
global_step=10724, episodic_return=0.0
SPS: 2703
global_step=10844, episodic_return=0.0
global_step=10904, episodic_return=0.0
global_step=11004, episodic_return=0.0
global_step=11128, episodic_return=0.0
global_step=11248, episodic_return=0.0
SPS: 2712
global_step=11308, episodic_return=0.0
global_step=11408, episodic_return=0.0
global_step=11532, episodic_return=0.0
global_step=11548, episodic_return=0.33399999999999996
global_step=11600, episodic_return=0.892
global_step=11712, episodic_return=0.0
SPS: 2719
global_step=11812, episodic_return=0.0
global_step=11936, episodic_return=0.0
global_step=12004, episodic_return=0.0
global_step=12116, episodic_return=0.0
global_step=12216, episodic_return=0.0
SPS: 2725
global_step=12340, episodic_return=0.0
global_step=12408, episodic_return=0.0
global_step=12520, episodic_return=0.0
global_step=12620, episodic_return=0.0
global_step=12744, episodic_return=0.0
SPS: 2732
global_step=12812, episodic_return=0.0
global_step=12924, episodic_return=0.0
global_step=13024, episodic_return=0.0
global_step=13148, episodic_return=0.0
global_step=13216, episodic_return=0.0
SPS: 2737
global_step=13328, episodic_return=0.0
global_step=13428, episodic_return=0.0
global_step=13552, episodic_return=0.0
global_step=13620, episodic_return=0.0
global_step=13732, episodic_return=0.0
SPS: 2744
global_step=13832, episodic_return=0.0
global_step=13928, episodic_return=0.7929999999999999
global_step=13956, episodic_return=0.0
global_step=14024, episodic_return=0.0
global_step=14136, episodic_return=0.0
global_step=14332, episodic_return=0.0
SPS: 2750
global_step=14360, episodic_return=0.0
global_step=14428, episodic_return=0.0
global_step=14540, episodic_return=0.0
global_step=14736, episodic_return=0.0
global_step=14764, episodic_return=0.0
global_step=14832, episodic_return=0.0
SPS: 2754
global_step=14944, episodic_return=0.0
global_step=15140, episodic_return=0.0
global_step=15168, episodic_return=0.0
global_step=15236, episodic_return=0.0
global_step=15348, episodic_return=0.0
SPS: 2759
global_step=15544, episodic_return=0.0
global_step=15572, episodic_return=0.0
global_step=15640, episodic_return=0.0
global_step=15752, episodic_return=0.0
SPS: 2765
global_step=15948, episodic_return=0.0
global_step=15976, episodic_return=0.0
global_step=16044, episodic_return=0.0
global_step=16156, episodic_return=0.0
global_step=16352, episodic_return=0.0
global_step=16380, episodic_return=0.0
SPS: 2768
global_step=16388, episodic_return=0.991
global_step=16448, episodic_return=0.0
global_step=16560, episodic_return=0.0
global_step=16756, episodic_return=0.0
global_step=16792, episodic_return=0.0
global_step=16852, episodic_return=0.0
SPS: 2772
global_step=16964, episodic_return=0.0
global_step=17160, episodic_return=0.0
global_step=17196, episodic_return=0.0
global_step=17256, episodic_return=0.0
global_step=17368, episodic_return=0.0
SPS: 2777
global_step=17564, episodic_return=0.0
global_step=17600, episodic_return=0.0
global_step=17660, episodic_return=0.0
global_step=17772, episodic_return=0.0
SPS: 2781
global_step=17968, episodic_return=0.0
global_step=18004, episodic_return=0.0
global_step=18064, episodic_return=0.0
global_step=18176, episodic_return=0.0
global_step=18372, episodic_return=0.0
global_step=18408, episodic_return=0.0
SPS: 2785
global_step=18468, episodic_return=0.0
global_step=18580, episodic_return=0.0
global_step=18776, episodic_return=0.0
global_step=18812, episodic_return=0.0
global_step=18872, episodic_return=0.0
SPS: 2790
global_step=18984, episodic_return=0.0
global_step=19180, episodic_return=0.0
global_step=19216, episodic_return=0.0
global_step=19276, episodic_return=0.0
global_step=19388, episodic_return=0.0
SPS: 2794
global_step=19520, episodic_return=0.244
global_step=19620, episodic_return=0.0
global_step=19680, episodic_return=0.0
global_step=19792, episodic_return=0.0
global_step=19924, episodic_return=0.0
SPS: 2797
global_step=20024, episodic_return=0.0
global_step=20084, episodic_return=0.0
global_step=20196, episodic_return=0.0
global_step=20328, episodic_return=0.0
global_step=20428, episodic_return=0.0
SPS: 2801
global_step=20488, episodic_return=0.0
global_step=20600, episodic_return=0.0
global_step=20732, episodic_return=0.0
global_step=20832, episodic_return=0.0
global_step=20892, episodic_return=0.0
SPS: 2805
global_step=21004, episodic_return=0.0
global_step=21136, episodic_return=0.0
global_step=21236, episodic_return=0.0
global_step=21296, episodic_return=0.0
global_step=21408, episodic_return=0.0
SPS: 2809
global_step=21540, episodic_return=0.0
global_step=21640, episodic_return=0.0
global_step=21700, episodic_return=0.0
global_step=21812, episodic_return=0.0
global_step=21944, episodic_return=0.0
SPS: 2812
global_step=22044, episodic_return=0.0
global_step=22104, episodic_return=0.0
global_step=22216, episodic_return=0.0
global_step=22348, episodic_return=0.0
global_step=22448, episodic_return=0.0
global_step=22508, episodic_return=0.0
SPS: 2815
global_step=22620, episodic_return=0.0
global_step=22752, episodic_return=0.0
global_step=22852, episodic_return=0.0
global_step=22912, episodic_return=0.0
global_step=23024, episodic_return=0.0
SPS: 2819
global_step=23156, episodic_return=0.0
global_step=23256, episodic_return=0.0
global_step=23316, episodic_return=0.0
global_step=23428, episodic_return=0.0
global_step=23492, episodic_return=0.613
SPS: 2821
global_step=23560, episodic_return=0.0
global_step=23660, episodic_return=0.0
global_step=23832, episodic_return=0.0
global_step=23896, episodic_return=0.0
global_step=23964, episodic_return=0.0
global_step=24064, episodic_return=0.0
SPS: 2824
global_step=24236, episodic_return=0.0
global_step=24300, episodic_return=0.0
global_step=24336, episodic_return=0.9279999999999999
global_step=24368, episodic_return=0.0
global_step=24468, episodic_return=0.0
SPS: 2826
global_step=24640, episodic_return=0.0
global_step=24740, episodic_return=0.0
global_step=24772, episodic_return=0.0
global_step=24872, episodic_return=0.0
global_step=25044, episodic_return=0.3969999999999999
global_step=25044, episodic_return=0.0
SPS: 2827
