Unloading shared
  WARNING: Did not unuse /cm/shared/modulefiles
[start] Sat May 23 01:12:40 PM CDT 2026  host=node049  task=4  name=cond_C
name
NVIDIA L40S
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
SPS: 75
global_step=792, episodic_return=0.127
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
global_step=1004, episodic_return=0.5589999999999999
SPS: 147
global_step=1196, episodic_return=0.0
global_step=1208, episodic_return=0.0
global_step=1208, episodic_return=0.0
global_step=1408, episodic_return=0.0
SPS: 216
global_step=1600, episodic_return=0.0
global_step=1612, episodic_return=0.0
global_step=1612, episodic_return=0.0
global_step=1812, episodic_return=0.0
global_step=2004, episodic_return=0.0
global_step=2016, episodic_return=0.0
global_step=2016, episodic_return=0.0
SPS: 283
global_step=2216, episodic_return=0.0
global_step=2288, episodic_return=0.3969999999999999
global_step=2408, episodic_return=0.0
global_step=2420, episodic_return=0.0
SPS: 346
global_step=2620, episodic_return=0.0
global_step=2692, episodic_return=0.0
global_step=2812, episodic_return=0.0
global_step=2824, episodic_return=0.0
global_step=3024, episodic_return=0.0
SPS: 408
global_step=3096, episodic_return=0.0
global_step=3216, episodic_return=0.0
global_step=3228, episodic_return=0.0
global_step=3428, episodic_return=0.0
global_step=3500, episodic_return=0.0
SPS: 467
global_step=3620, episodic_return=0.0
global_step=3632, episodic_return=0.0
global_step=3832, episodic_return=0.0
global_step=3904, episodic_return=0.0
global_step=4024, episodic_return=0.0
global_step=4036, episodic_return=0.0
SPS: 524
global_step=4232, episodic_return=0.5680000000000001
global_step=4236, episodic_return=0.0
global_step=4308, episodic_return=0.0
global_step=4428, episodic_return=0.0
SPS: 579
global_step=4636, episodic_return=0.0
global_step=4640, episodic_return=0.0
global_step=4712, episodic_return=0.0
global_step=4832, episodic_return=0.0
global_step=4924, episodic_return=0.532
global_step=5040, episodic_return=0.0
global_step=5044, episodic_return=0.0
SPS: 632
global_step=5236, episodic_return=0.0
global_step=5328, episodic_return=0.0
global_step=5444, episodic_return=0.0
global_step=5448, episodic_return=0.0
SPS: 683
global_step=5640, episodic_return=0.0
global_step=5732, episodic_return=0.0
global_step=5848, episodic_return=0.0
global_step=5852, episodic_return=0.0
global_step=6044, episodic_return=0.0
global_step=6136, episodic_return=0.0
SPS: 732
global_step=6252, episodic_return=0.0
global_step=6256, episodic_return=0.0
global_step=6448, episodic_return=0.0
global_step=6540, episodic_return=0.0
global_step=6656, episodic_return=0.0
SPS: 780
global_step=6660, episodic_return=0.0
global_step=6852, episodic_return=0.0
global_step=6944, episodic_return=0.0
global_step=7060, episodic_return=0.0
global_step=7064, episodic_return=0.0
SPS: 825
global_step=7256, episodic_return=0.0
global_step=7348, episodic_return=0.0
global_step=7464, episodic_return=0.0
global_step=7468, episodic_return=0.0
global_step=7660, episodic_return=0.0
SPS: 870
global_step=7752, episodic_return=0.0
global_step=7868, episodic_return=0.0
global_step=7872, episodic_return=0.0
global_step=8064, episodic_return=0.0
global_step=8156, episodic_return=0.0
SPS: 913
global_step=8272, episodic_return=0.0
global_step=8276, episodic_return=0.0
global_step=8468, episodic_return=0.0
global_step=8560, episodic_return=0.0
global_step=8676, episodic_return=0.0
global_step=8680, episodic_return=0.0
SPS: 955
global_step=8872, episodic_return=0.0
global_step=8964, episodic_return=0.0
global_step=9080, episodic_return=0.0
global_step=9084, episodic_return=0.0
SPS: 995
global_step=9276, episodic_return=0.0
global_step=9368, episodic_return=0.0
global_step=9484, episodic_return=0.0
global_step=9488, episodic_return=0.0
global_step=9680, episodic_return=0.0
SPS: 1035
global_step=9772, episodic_return=0.0
global_step=9888, episodic_return=0.0
global_step=9892, episodic_return=0.0
global_step=10084, episodic_return=0.0
global_step=10176, episodic_return=0.0
SPS: 1073
global_step=10292, episodic_return=0.0
global_step=10296, episodic_return=0.0
global_step=10488, episodic_return=0.0
global_step=10580, episodic_return=0.0
global_step=10696, episodic_return=0.0
global_step=10700, episodic_return=0.0
SPS: 1110
global_step=10892, episodic_return=0.0
global_step=10984, episodic_return=0.0
global_step=11100, episodic_return=0.0
global_step=11104, episodic_return=0.0
SPS: 1146
global_step=11296, episodic_return=0.0
global_step=11388, episodic_return=0.0
global_step=11504, episodic_return=0.0
global_step=11508, episodic_return=0.0
global_step=11700, episodic_return=0.0
SPS: 1181
global_step=11792, episodic_return=0.0
global_step=11808, episodic_return=0.32499999999999996
global_step=11912, episodic_return=0.0
global_step=12104, episodic_return=0.0
global_step=12196, episodic_return=0.0
global_step=12212, episodic_return=0.0
SPS: 1214
global_step=12316, episodic_return=0.0
global_step=12508, episodic_return=0.0
global_step=12600, episodic_return=0.0
global_step=12616, episodic_return=0.0
global_step=12720, episodic_return=0.0
SPS: 1247
global_step=12912, episodic_return=0.0
global_step=13004, episodic_return=0.0
global_step=13020, episodic_return=0.0
global_step=13124, episodic_return=0.0
SPS: 1280
global_step=13316, episodic_return=0.0
global_step=13408, episodic_return=0.0
global_step=13424, episodic_return=0.0
global_step=13528, episodic_return=0.0
global_step=13720, episodic_return=0.0
global_step=13812, episodic_return=0.0
SPS: 1311
