Unloading shared
  WARNING: Did not unuse /cm/shared/modulefiles
[start] Sat May 23 01:12:40 PM CDT 2026  host=node047  task=1  name=baseline_random
name
NVIDIA L40S
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
SPS: 75
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
global_step=1004, episodic_return=0.5589999999999999
SPS: 147
global_step=1208, episodic_return=0.0
global_step=1208, episodic_return=0.0
global_step=1208, episodic_return=0.0
global_step=1408, episodic_return=0.0
SPS: 216
global_step=1604, episodic_return=0.118
global_step=1612, episodic_return=0.0
global_step=1612, episodic_return=0.0
global_step=1648, episodic_return=0.9279999999999999
global_step=1812, episodic_return=0.0
global_step=2008, episodic_return=0.0
global_step=2016, episodic_return=0.0
SPS: 283
global_step=2052, episodic_return=0.91
global_step=2052, episodic_return=0.0
global_step=2100, episodic_return=0.361
global_step=2420, episodic_return=0.0
global_step=2456, episodic_return=0.0
global_step=2456, episodic_return=0.0
global_step=2504, episodic_return=0.0
SPS: 347
global_step=2824, episodic_return=0.0
global_step=2860, episodic_return=0.0
global_step=2860, episodic_return=0.0
global_step=2908, episodic_return=0.0
SPS: 408
global_step=3228, episodic_return=0.0
global_step=3264, episodic_return=0.0
global_step=3264, episodic_return=0.0
global_step=3312, episodic_return=0.0
SPS: 467
global_step=3632, episodic_return=0.0
global_step=3668, episodic_return=0.0
global_step=3668, episodic_return=0.0
global_step=3716, episodic_return=0.0
global_step=4036, episodic_return=0.0
global_step=4072, episodic_return=0.0
global_step=4072, episodic_return=0.0
SPS: 524
global_step=4120, episodic_return=0.0
global_step=4440, episodic_return=0.0
global_step=4476, episodic_return=0.0
global_step=4476, episodic_return=0.0
global_step=4524, episodic_return=0.0
SPS: 579
global_step=4844, episodic_return=0.0
global_step=4880, episodic_return=0.0
global_step=4880, episodic_return=0.0
global_step=4928, episodic_return=0.0
SPS: 633
global_step=5248, episodic_return=0.0
global_step=5284, episodic_return=0.0
global_step=5284, episodic_return=0.0
global_step=5332, episodic_return=0.0
SPS: 685
global_step=5652, episodic_return=0.0
global_step=5688, episodic_return=0.0
global_step=5688, episodic_return=0.0
global_step=5736, episodic_return=0.0
global_step=6056, episodic_return=0.0
global_step=6092, episodic_return=0.0
global_step=6092, episodic_return=0.0
global_step=6140, episodic_return=0.0
SPS: 734
global_step=6460, episodic_return=0.0
global_step=6496, episodic_return=0.0
global_step=6496, episodic_return=0.0
global_step=6544, episodic_return=0.0
SPS: 782
global_step=6864, episodic_return=0.0
global_step=6900, episodic_return=0.0
global_step=6900, episodic_return=0.0
global_step=6948, episodic_return=0.0
SPS: 828
global_step=7268, episodic_return=0.0
global_step=7304, episodic_return=0.0
global_step=7304, episodic_return=0.0
global_step=7352, episodic_return=0.0
global_step=7672, episodic_return=0.0
SPS: 873
global_step=7708, episodic_return=0.0
global_step=7708, episodic_return=0.0
global_step=7756, episodic_return=0.0
global_step=8076, episodic_return=0.0
global_step=8112, episodic_return=0.0
global_step=8112, episodic_return=0.0
global_step=8160, episodic_return=0.0
SPS: 917
global_step=8480, episodic_return=0.0
global_step=8516, episodic_return=0.0
global_step=8516, episodic_return=0.0
global_step=8564, episodic_return=0.0
SPS: 958
global_step=8884, episodic_return=0.0
global_step=8920, episodic_return=0.0
global_step=8920, episodic_return=0.0
global_step=8968, episodic_return=0.0
SPS: 999
global_step=9288, episodic_return=0.0
global_step=9324, episodic_return=0.0
global_step=9324, episodic_return=0.0
global_step=9372, episodic_return=0.0
global_step=9692, episodic_return=0.0
global_step=9728, episodic_return=0.0
global_step=9728, episodic_return=0.0
SPS: 1039
global_step=9776, episodic_return=0.0
global_step=10096, episodic_return=0.09999999999999998
global_step=10132, episodic_return=0.0
global_step=10132, episodic_return=0.0
global_step=10180, episodic_return=0.0
SPS: 1077
global_step=10500, episodic_return=0.0
global_step=10536, episodic_return=0.0
global_step=10536, episodic_return=0.0
global_step=10584, episodic_return=0.0
SPS: 1115
global_step=10904, episodic_return=0.0
global_step=10940, episodic_return=0.0
global_step=10940, episodic_return=0.0
global_step=10988, episodic_return=0.0
SPS: 1152
global_step=11308, episodic_return=0.0
global_step=11344, episodic_return=0.0
global_step=11344, episodic_return=0.0
global_step=11392, episodic_return=0.0
global_step=11712, episodic_return=0.0
global_step=11748, episodic_return=0.0
global_step=11748, episodic_return=0.0
SPS: 1187
global_step=11796, episodic_return=0.0
global_step=12116, episodic_return=0.0
global_step=12152, episodic_return=0.0
global_step=12152, episodic_return=0.0
global_step=12200, episodic_return=0.0
SPS: 1221
global_step=12520, episodic_return=0.0
global_step=12556, episodic_return=0.0
global_step=12556, episodic_return=0.0
global_step=12604, episodic_return=0.0
SPS: 1255
global_step=12924, episodic_return=0.0
global_step=12960, episodic_return=0.0
global_step=12960, episodic_return=0.0
global_step=13008, episodic_return=0.0
SPS: 1287
global_step=13328, episodic_return=0.0
global_step=13364, episodic_return=0.0
global_step=13364, episodic_return=0.0
global_step=13412, episodic_return=0.0
global_step=13732, episodic_return=0.0
global_step=13768, episodic_return=0.0
global_step=13768, episodic_return=0.0
global_step=13816, episodic_return=0.0
SPS: 1318
global_step=14136, episodic_return=0.0
global_step=14160, episodic_return=0.127
global_step=14172, episodic_return=0.0
global_step=14220, episodic_return=0.0
global_step=14260, episodic_return=0.919
SPS: 1349
global_step=14440, episodic_return=0.604
global_step=14540, episodic_return=0.0
global_step=14564, episodic_return=0.0
global_step=14576, episodic_return=0.0
global_step=14844, episodic_return=0.0
SPS: 1378
global_step=14944, episodic_return=0.0
global_step=14968, episodic_return=0.0
global_step=14980, episodic_return=0.0
global_step=15012, episodic_return=0.631
global_step=15348, episodic_return=0.0
SPS: 1408
global_step=15372, episodic_return=0.0
global_step=15384, episodic_return=0.0
global_step=15416, episodic_return=0.0
global_step=15752, episodic_return=0.0
global_step=15776, episodic_return=0.0
global_step=15788, episodic_return=0.0
global_step=15820, episodic_return=0.0
SPS: 1434
global_step=16156, episodic_return=0.0
global_step=16180, episodic_return=0.0
global_step=16192, episodic_return=0.0
global_step=16224, episodic_return=0.0
SPS: 1460
global_step=16560, episodic_return=0.0
global_step=16584, episodic_return=0.0
global_step=16596, episodic_return=0.0
global_step=16628, episodic_return=0.0
SPS: 1487
global_step=16964, episodic_return=0.0
global_step=16988, episodic_return=0.0
global_step=17000, episodic_return=0.0
global_step=17032, episodic_return=0.0
global_step=17368, episodic_return=0.0
global_step=17392, episodic_return=0.0
global_step=17404, episodic_return=0.0
SPS: 1514
global_step=17436, episodic_return=0.0
global_step=17772, episodic_return=0.0
global_step=17796, episodic_return=0.0
global_step=17808, episodic_return=0.0
global_step=17840, episodic_return=0.0
SPS: 1539
global_step=18176, episodic_return=0.0
global_step=18200, episodic_return=0.0
global_step=18212, episodic_return=0.0
global_step=18244, episodic_return=0.0
SPS: 1565
global_step=18580, episodic_return=0.0
global_step=18604, episodic_return=0.0
global_step=18616, episodic_return=0.0
