Unloading shared
  WARNING: Did not unuse /cm/shared/modulefiles
[start] Sat May 23 01:12:40 PM CDT 2026  host=node047  task=0  name=baseline_fixed
name
NVIDIA L40S
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
SPS: 75
global_step=676, episodic_return=0.3879999999999999
global_step=792, episodic_return=0.127
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
SPS: 147
global_step=1080, episodic_return=0.0
global_step=1196, episodic_return=0.0
global_step=1208, episodic_return=0.0
global_step=1208, episodic_return=0.0
global_step=1484, episodic_return=0.0
SPS: 216
global_step=1600, episodic_return=0.0
global_step=1612, episodic_return=0.0
global_step=1612, episodic_return=0.0
global_step=1888, episodic_return=0.0
global_step=2004, episodic_return=0.0
global_step=2016, episodic_return=0.0
global_step=2016, episodic_return=0.0
SPS: 282
global_step=2292, episodic_return=0.0
global_step=2408, episodic_return=0.0
global_step=2420, episodic_return=0.0
global_step=2420, episodic_return=0.0
SPS: 346
global_step=2696, episodic_return=0.0
global_step=2812, episodic_return=0.0
global_step=2824, episodic_return=0.0
global_step=2824, episodic_return=0.0
SPS: 408
global_step=3100, episodic_return=0.0
global_step=3216, episodic_return=0.0
global_step=3228, episodic_return=0.0
global_step=3228, episodic_return=0.0
global_step=3504, episodic_return=0.0
SPS: 467
global_step=3620, episodic_return=0.0
global_step=3632, episodic_return=0.0
global_step=3632, episodic_return=0.0
global_step=3908, episodic_return=0.0
global_step=4024, episodic_return=0.0
global_step=4036, episodic_return=0.0
global_step=4036, episodic_return=0.0
SPS: 524
global_step=4312, episodic_return=0.0
global_step=4428, episodic_return=0.0
global_step=4440, episodic_return=0.0
global_step=4440, episodic_return=0.0
global_step=4516, episodic_return=0.55
SPS: 579
global_step=4660, episodic_return=0.514
global_step=4832, episodic_return=0.0
global_step=4844, episodic_return=0.0
global_step=4920, episodic_return=0.0
global_step=5064, episodic_return=0.0
SPS: 632
global_step=5236, episodic_return=0.0
global_step=5248, episodic_return=0.0
global_step=5324, episodic_return=0.0
global_step=5468, episodic_return=0.0
SPS: 683
global_step=5640, episodic_return=0.0
global_step=5652, episodic_return=0.0
global_step=5728, episodic_return=0.0
global_step=5872, episodic_return=0.0
global_step=6044, episodic_return=0.0
global_step=6056, episodic_return=0.0
global_step=6132, episodic_return=0.0
SPS: 732
global_step=6276, episodic_return=0.0
global_step=6448, episodic_return=0.0
global_step=6460, episodic_return=0.0
global_step=6536, episodic_return=0.0
SPS: 780
global_step=6680, episodic_return=0.0
global_step=6852, episodic_return=0.0
global_step=6864, episodic_return=0.0
global_step=6940, episodic_return=0.0
global_step=7084, episodic_return=0.0
SPS: 826
global_step=7256, episodic_return=0.0
global_step=7268, episodic_return=0.0
global_step=7344, episodic_return=0.0
global_step=7488, episodic_return=0.0
global_step=7660, episodic_return=0.0
global_step=7672, episodic_return=0.0
SPS: 870
global_step=7748, episodic_return=0.0
global_step=7892, episodic_return=0.0
global_step=8064, episodic_return=0.0
global_step=8076, episodic_return=0.0
global_step=8152, episodic_return=0.0
SPS: 914
global_step=8296, episodic_return=0.0
global_step=8468, episodic_return=0.0
global_step=8480, episodic_return=0.0
global_step=8556, episodic_return=0.0
global_step=8700, episodic_return=0.0
SPS: 955
global_step=8872, episodic_return=0.0
global_step=8884, episodic_return=0.0
global_step=8960, episodic_return=0.0
global_step=9104, episodic_return=0.0
SPS: 996
global_step=9276, episodic_return=0.0
global_step=9288, episodic_return=0.0
global_step=9364, episodic_return=0.0
global_step=9508, episodic_return=0.0
global_step=9680, episodic_return=0.0
global_step=9692, episodic_return=0.0
SPS: 1035
global_step=9768, episodic_return=0.0
global_step=9912, episodic_return=0.0
global_step=10084, episodic_return=0.0
global_step=10096, episodic_return=0.0
global_step=10172, episodic_return=0.0
SPS: 1073
global_step=10316, episodic_return=0.0
global_step=10488, episodic_return=0.0
global_step=10500, episodic_return=0.0
global_step=10576, episodic_return=0.0
global_step=10720, episodic_return=0.0
SPS: 1109
global_step=10892, episodic_return=0.0
global_step=10904, episodic_return=0.0
global_step=10980, episodic_return=0.0
global_step=11124, episodic_return=0.0
SPS: 1145
global_step=11296, episodic_return=0.0
global_step=11308, episodic_return=0.0
global_step=11384, episodic_return=0.0
global_step=11528, episodic_return=0.0
global_step=11700, episodic_return=0.0
global_step=11712, episodic_return=0.0
SPS: 1180
global_step=11788, episodic_return=0.0
global_step=11932, episodic_return=0.0
global_step=12104, episodic_return=0.0
global_step=12116, episodic_return=0.0
global_step=12192, episodic_return=0.0
SPS: 1214
global_step=12336, episodic_return=0.0
global_step=12508, episodic_return=0.0
global_step=12520, episodic_return=0.0
global_step=12596, episodic_return=0.0
global_step=12740, episodic_return=0.0
SPS: 1246
global_step=12912, episodic_return=0.0
global_step=12924, episodic_return=0.0
global_step=13000, episodic_return=0.0
global_step=13044, episodic_return=0.739
global_step=13144, episodic_return=0.0
SPS: 1278
global_step=13316, episodic_return=0.0
global_step=13404, episodic_return=0.0
global_step=13448, episodic_return=0.0
global_step=13548, episodic_return=0.0
global_step=13720, episodic_return=0.0
global_step=13808, episodic_return=0.0
SPS: 1309
global_step=13852, episodic_return=0.0
global_step=13952, episodic_return=0.0
global_step=14124, episodic_return=0.0
global_step=14156, episodic_return=0.22599999999999998
global_step=14256, episodic_return=0.0
SPS: 1340
global_step=14356, episodic_return=0.0
global_step=14528, episodic_return=0.0
global_step=14560, episodic_return=0.0
global_step=14660, episodic_return=0.0
global_step=14760, episodic_return=0.0
SPS: 1369
global_step=14932, episodic_return=0.0
global_step=14964, episodic_return=0.0
global_step=15064, episodic_return=0.0
global_step=15164, episodic_return=0.0
global_step=15336, episodic_return=0.0
SPS: 1395
global_step=15368, episodic_return=0.0
global_step=15468, episodic_return=0.0
global_step=15568, episodic_return=0.0
global_step=15740, episodic_return=0.0
global_step=15772, episodic_return=0.0
global_step=15872, episodic_return=0.0
SPS: 1423
global_step=15972, episodic_return=0.0
global_step=16108, episodic_return=0.478
global_step=16144, episodic_return=0.0
global_step=16176, episodic_return=0.0
global_step=16376, episodic_return=0.0
SPS: 1450
global_step=16512, episodic_return=0.0
global_step=16548, episodic_return=0.0
global_step=16580, episodic_return=0.0
global_step=16780, episodic_return=0.0
SPS: 1477
global_step=16916, episodic_return=0.0
global_step=16952, episodic_return=0.0
global_step=16984, episodic_return=0.0
global_step=17184, episodic_return=0.0
global_step=17320, episodic_return=0.0
global_step=17356, episodic_return=0.0
global_step=17388, episodic_return=0.0
SPS: 1503
global_step=17588, episodic_return=0.0
global_step=17724, episodic_return=0.0
global_step=17760, episodic_return=0.0
global_step=17792, episodic_return=0.0
SPS: 1528
global_step=17992, episodic_return=0.0
global_step=18128, episodic_return=0.0
global_step=18164, episodic_return=0.0
global_step=18196, episodic_return=0.0
global_step=18368, episodic_return=0.55
global_step=18396, episodic_return=0.0
SPS: 1553
global_step=18532, episodic_return=0.0
global_step=18600, episodic_return=0.0
global_step=18772, episodic_return=0.0
global_step=18800, episodic_return=0.0
global_step=18936, episodic_return=0.0
SPS: 1577
